선거구명,선거구역
연 수 구 갑 선 거 구,동춘1동
연 수 구 갑 선 거 구,동춘2동
연 수 구 갑 선 거 구,동춘3동
연 수 구 을 선 거 구,송도1동
연 수 구 을 선 거 구,송도2동
연 수 구 을 선 거 구,송도3동
연 수 구 을 선 거 구,송도4동
연 수 구 을 선 거 구,송도5동
남 동 구 갑 선 거 구,구월1동
남 동 구 갑 선 거 구,구월3동
남 동 구 갑 선 거 구,구월4동
남 동 구 갑 선 거 구,간석1동
남 동 구 갑 선 거 구,간석4동
남 동 구 갑 선 거 구,남촌도림동
남 동 구 갑 선 거 구,논현1동
남 동 구 갑 선 거 구,논현2동
남 동 구 갑 선 거 구,논현고잔동
남 동 구 을 선 거 구,구월2동
남 동 구 을 선 거 구,간석2동
남 동 구 을 선 거 구,간석3동
남 동 구 을 선 거 구,만수1동
남 동 구 을 선 거 구,만수2동
남 동 구 을 선 거 구,만수3동
남 동 구 을 선 거 구,만수4동
남 동 구 을 선 거 구,만수5동
남 동 구 을 선 거 구,만수6동
남 동 구 을 선 거 구,장수서창동
남 동 구 을 선 거 구,서창2동
부 평 구 갑 선 거 구,부평1동
부 평 구 갑 선 거 구,부평2동
부 평 구 갑 선 거 구,부평3동
부 평 구 갑 선 거 구,부평4동
부 평 구 갑 선 거 구,부평5동
부 평 구 갑 선 거 구,부평6동
부 평 구 갑 선 거 구,산곡3동
부 평 구 갑 선 거 구,산곡4동
부 평 구 갑 선 거 구,부개1동
부 평 구 갑 선 거 구,일신동
부 평 구 갑 선 거 구,십정1동
부 평 구 갑 선 거 구,십정2동
부 평 구 을 선 거 구,산곡1동
부 평 구 을 선 거 구,산곡2동
부 평 구 을 선 거 구,청천1동
부 평 구 을 선 거 구,청천2동
부 평 구 을 선 거 구,갈산1동
부 평 구 을 선 거 구,갈산2동
부 평 구 을 선 거 구,삼산1동
부 평 구 을 선 거 구,삼산2동
부 평 구 을 선 거 구,부개2동
부 평 구 을 선 거 구,부개3동
계 양 구 갑 선 거 구,효성1동
계 양 구 갑 선 거 구,효성2동
계 양 구 갑 선 거 구,계산1동
계 양 구 갑 선 거 구,계산3동
계 양 구 갑 선 거 구,작전1동
계 양 구 갑 선 거 구,작전2동
계 양 구 을 선 거 구,계산2동
계 양 구 을 선 거 구,계산4동
계 양 구 을 선 거 구,작전서운동
계 양 구 을 선 거 구,계양1동
계 양 구 을 선 거 구,계양2동
계 양 구 을 선 거 구,계양3동
서 구 갑 선 거 구,가정1동
서 구 갑 선 거 구,가정2동
서 구 갑 선 거 구,가정3동
서 구 갑 선 거 구,신현원창동
서 구 갑 선 거 구,석남1동
서 구 갑 선 거 구,석남2동
서 구 갑 선 거 구,석남3동
서 구 갑 선 거 구,가좌1동
서 구 갑 선 거 구,가좌2동
서 구 갑 선 거 구,가좌3동
서 구 갑 선 거 구,가좌4동
서 구 을 선 거 구,검암경서동
서 구 을 선 거 구,연희동
서 구 을 선 거 구,청라1동
서 구 을 선 거 구,청라2동
서 구 을 선 거 구,청라3동
서 구 병 선 거 구,검단동
서 구 병 선 거 구,불로대곡동
서 구 병 선 거 구,원당동
서 구 병 선 거 구,당하동
서 구 병 선 거 구,오류왕길동
서 구 병 선 거 구,마전동
서 구 병 선 거 구,아라동
광주광역시(지역구 : 8),
동구남구갑선거구,남구봉선1동
동구남구갑선거구,봉선2동
동구남구갑선거구,월산동
동구남구갑선거구,월산4동
동구남구갑선거구,월산5동
동구남구갑선거구,주월1동
동구남구갑선거구,주월2동
동구남구갑선거구,진월동
동구남구갑선거구,효덕동
동구남구갑선거구,송암동
동구남구갑선거구,대촌동
동구남구을선거구,남구양림동
동구남구을선거구,방림1동
동구남구을선거구,방림2동
동구남구을선거구,사직동
동구남구을선거구,백운1동
동구남구을선거구,백운2동
동구남구을선거구,동구
서 구 갑 선 거 구,양동
서 구 갑 선 거 구,양3동
서 구 갑 선 거 구,농성1동
서 구 갑 선 거 구,농성2동
서 구 갑 선 거 구,광천동
서 구 갑 선 거 구,유덕동
서 구 갑 선 거 구,치평동
서 구 갑 선 거 구,상무1동
서 구 갑 선 거 구,화정1동
서 구 갑 선 거 구,화정2동
서 구 갑 선 거 구,동천동
서 구 을 선 거 구,화정3동
서 구 을 선 거 구,화정4동
서 구 을 선 거 구,서창동
서 구 을 선 거 구,금호1동
서 구 을 선 거 구,금호2동
서 구 을 선 거 구,풍암동
서 구 을 선 거 구,상무2동
북 구 갑 선 거 구,중흥1동
북 구 갑 선 거 구,중흥동
북 구 갑 선 거 구,중앙동
북 구 갑 선 거 구,임동
북 구 갑 선 거 구,신안동
북 구 갑 선 거 구,우산동
북 구 갑 선 거 구,풍향동
북 구 갑 선 거 구,문화동
북 구 갑 선 거 구,문흥1동
북 구 갑 선 거 구,문흥2동
북 구 갑 선 거 구,두암1동
북 구 갑 선 거 구,두암2동
북 구 갑 선 거 구,두암3동
북 구 갑 선 거 구,오치1동
북 구 갑 선 거 구,오치2동
북 구 갑 선 거 구,석곡동
북 구 을 선 거 구,용봉동
북 구 을 선 거 구,운암1동
북 구 을 선 거 구,운암2동
북 구 을 선 거 구,운암3동
